scrap_date,update_date,price,city,location,product_type,furnish_type,number_of_rooms,floor_number,number_of_floors,size,year_of_construction
"November 15, 2020",Actualizat în 10.11.2020,89.000,Iasi,Bucium ,House,N/A,3,N/A,N/A,130 mp,2018
"November 15, 2020",Actualizat în 16.09.2020,255.000,Iasi,Bucium ,House,Furnished,4,N/A,N/A,200 mp,2010
"November 15, 2020",Actualizat în 30.10.2020,150.000,Iasi,Tatarasi ,House,N/A,5,N/A,N/A,180 mp,2010
"November 15, 2020",Actualizat în 11.09.2020,136.900,Iasi,Cug ,House,Furnished,4,N/A,N/A,142 mp,2020 (finalizata)
"November 15, 2020",Actualizat ieri,78.000,Iasi,Lunca Cetatuii ,House,N/A,3,N/A,N/A,98 mp,2020 (finalizata)
"November 15, 2020",Actualizat în 09.11.2020,89.900,Iasi,Bucium ,House,N/A,4,N/A,N/A,90 mp,2020 (in constructie)
"November 15, 2020",Actualizat în 20.10.2020,60.000,Iasi,Bucium ,House,N/A,5,N/A,N/A,80 mp,2010
"November 15, 2020",Actualizat în 07.11.2020,199.900,Iasi,Galata ,House,N/A,4,N/A,N/A,171.4 mp,2020
"November 15, 2020",Actualizat în 09.11.2020,125.000,Iasi,Miroslava ,House,N/A,4,N/A,N/A,109 mp,2020 (in constructie)
"November 15, 2020",Actualizat ieri,67.900,Iasi,Miroslava ,House,N/A,3,N/A,N/A,85 mp,2020 (finalizata)
"November 15, 2020",Actualizat ieri,85.000,Iasi,Exterior Sud ,House,N/A,4,N/A,N/A,100 mp,2020 (finalizata)
